SKU,SKU Code,Current Price (in Pounds)
Wireless CCTV Camera Scanner With 2.5in LCD Screen,N96FN,299.99
420 TVL Covert Smoke Detector CCTV Camera With CCD Sensor,N98GC,49.99
Portable 420 TVL Micro DVR Spy Camera With 2.5 inch LCD  (Used),B78NT,79.99
Sentient Covert Security Pen Camera,N35CE,53.99
420 TVL Covert PIR CCD CCTV Camera,N99GC,69.99
Spy Cobra PC Monitoring Software,N66JK,39.99
Bug Sweeper,GG95D,19.99
380 TVL Covert Button CCTV Camera,N90CX,59.99
Sentient Covert Security Spy Camera Watch,N36CE,69.99
240 TVL Miniature Covert CCTV Camera,N89CX,159.99
Cell Phone Spy Software,N65JK,99.99
Portable 420 TVL Micro DVR Spy Camera With  2.5 inch LCD Screen,N59LH,99.99
Wireless CCTV Camera Scanner (used),B75LT,249.99
